date,ccsi
2015-01-01,103
2015-02-01,103.7
2015-03-01,101.8
2015-04-01,104.7
2015-05-01,106.1
2015-06-01,98.6
2015-07-01,100.7
2015-08-01,102
2015-09-01,103.3
2015-10-01,105.9
2015-11-01,106.6
2015-12-01,103.2
2016-01-01,100.4
2016-02-01,98.1
2016-03-01,100.4
2016-04-01,102.1
2016-05-01,99.6
2016-06-01,99.1
2016-07-01,101.4
2016-08-01,102.4
2016-09-01,102.3
2016-10-01,102.6
2016-11-01,95.7
2016-12-01,93.9
2017-01-01,93
2017-02-01,94.2
2017-03-01,96.8
2017-04-01,101.6
2017-05-01,109
2017-06-01,112.4
2017-07-01,112.6
2017-08-01,111.2
2017-09-01,108.8
2017-10-01,110.4
2017-11-01,113.7
2017-12-01,112.2
2018-01-01,111.4
2018-02-01,109.6
2018-03-01,109.5
2018-04-01,108.5
2018-05-01,109.4
2018-06-01,106.8
2018-07-01,101.9
2018-08-01,99.9
2018-09-01,100.9
2018-10-01,100.1
2018-11-01,96.4
2018-12-01,97.6
2019-01-01,98.3
2019-02-01,100.4
2019-03-01,100.7
2019-04-01,102.6
2019-05-01,98.7
2019-06-01,98.4
2019-07-01,96.7
2019-08-01,93.1
2019-09-01,97.8
2019-10-01,99.5
2019-11-01,101.9
2019-12-01,101.4
2020-01-01,105.2
2020-02-01,97.7
2020-03-01,79
2020-04-01,71.2
2020-05-01,78.1
2020-06-01,82.4
2020-07-01,84.8
2020-08-01,88.8
2020-09-01,80
2020-10-01,92.3
2020-11-01,98.8
2020-12-01,90.5
2021-01-01,95
2021-02-01,97.2
2021-03-01,100.4
2021-04-01,102.3
2021-05-01,105.5
2021-06-01,110.9
2021-07-01,103.4
2021-08-01,102.7
2021-09-01,104.1
2021-10-01,107.3
2021-11-01,108.2
2021-12-01,104.2
2022-01-01,104.9
2022-02-01,103.4
2022-03-01,103.6
2022-04-01,104.3
2022-05-01,103.1
2022-06-01,96.6
2022-07-01,85.7
2022-08-01,88.5
2022-09-01,91.3
2022-10-01,88.6
2022-11-01,86.2
2022-12-01,89.7
2023-01-01,90.4
2023-02-01,89.8
2023-03-01,91.7
2023-04-01,94.9
2023-05-01,97.9
2023-06-01,100.7
2023-07-01,103.4
2023-08-01,103.2
2023-09-01,99.7
2023-10-01,98
2023-11-01,97.1
2023-12-01,99.5
2024-01-01,101.5
2024-02-01,101.7
2024-03-01,100.5
2024-04-01,100.6
2024-05-01,98.2
2024-06-01,100.7
2024-07-01,103.6
2024-08-01,100.6
2024-09-01,99.8
2024-10-01,101.6
2024-11-01,100.6
2024-12-01,87.9
2025-01-01,91
2025-02-01,95
2025-03-01,93.2
2025-04-01,93.6
2025-05-01,101.7
2025-06-01,108.6
2025-07-01,110.7
2025-08-01,111.2
2025-09-01,110
2025-10-01,109.6
2025-11-01,112.3
2025-12-01,109.8
