date,mortgage_rate
2015-01-01,3.35
2015-02-01,3.23
2015-03-01,2.91
2015-04-01,2.78
2015-05-01,3.12
2015-06-01,3.11
2015-07-01,3.1
2015-08-01,3.06
2015-09-01,2.97
2015-10-01,2.91
2015-11-01,3.08
2015-12-01,3.14
2016-01-01,3.11
2016-02-01,2.98
2016-03-01,2.95
2016-04-01,2.91
2016-05-01,2.88
2016-06-01,2.76
2016-07-01,2.66
2016-08-01,2.69
2016-09-01,2.79
2016-10-01,2.86
2016-11-01,3.06
2016-12-01,3.17
2017-01-01,3.19
2017-02-01,3.2
2017-03-01,3.23
2017-04-01,3.26
2017-05-01,3.32
2017-06-01,3.27
2017-07-01,3.31
2017-08-01,3.32
2017-09-01,3.29
2017-10-01,3.41
2017-11-01,3.46
2017-12-01,3.46
2018-01-01,3.54
2018-02-01,3.57
2018-03-01,3.58
2018-04-01,3.57
2018-05-01,3.62
2018-06-01,3.57
2018-07-01,3.5
2018-08-01,3.39
2018-09-01,3.3
2018-10-01,3.3
2018-11-01,3.25
2018-12-01,3.16
2019-01-01,3.08
2019-02-01,3.05
2019-03-01,3.01
2019-04-01,2.93
2019-05-01,2.87
2019-06-01,2.69
2019-07-01,2.6
2019-08-01,2.43
2019-09-01,2.45
2019-10-01,2.42
2019-11-01,2.35
2019-12-01,2.35
2020-01-01,2.42
2020-02-01,2.47
2020-03-01,2.43
2020-04-01,2.55
2020-05-01,2.52
2020-06-01,2.52
2020-07-01,2.5
2020-08-01,2.43
2020-09-01,2.46
2020-10-01,2.46
2020-11-01,2.52
2020-12-01,2.51
2021-01-01,2.57
2021-02-01,2.62
2021-03-01,2.71
2021-04-01,2.71
2021-05-01,2.74
2021-06-01,2.83
2021-07-01,2.92
2021-08-01,2.98
2021-09-01,3.11
2021-10-01,3.38
2021-11-01,3.55
2021-12-01,3.58
2022-01-01,3.83
2022-02-01,3.88
2022-03-01,3.84
2022-04-01,3.98
2022-05-01,4.02
2022-06-01,4.17
2022-07-01,4.22
2022-08-01,4.36
2022-09-01,4.86
2022-10-01,4.82
2022-11-01,4.63
2022-12-01,4.5
2023-01-01,4.48
2023-02-01,4.5
2023-03-01,4.35
2023-04-01,4.21
2023-05-01,4.18
2023-06-01,4.23
2023-07-01,4.25
2023-08-01,4.28
2023-09-01,4.33
2023-10-01,4.55
2023-11-01,4.43
2023-12-01,4.09
2024-01-01,3.94
2024-02-01,3.93
2024-03-01,3.9
2024-04-01,3.91
2024-05-01,3.89
2024-06-01,3.69
2024-07-01,3.48
2024-08-01,3.49
2024-09-01,3.72
2024-10-01,4.04
2024-11-01,4.31
2024-12-01,4.23
2025-01-01,4.26
2025-02-01,4.22
2025-03-01,4.15
2025-04-01,3.96
2025-05-01,3.86
2025-06-01,3.92
2025-07-01,3.95
2025-08-01,3.94
2025-09-01,3.94
2025-10-01,3.97
2025-11-01,4.17
2025-12-01,4.22
